,가격,평점,채널,날짜,제품명,리뷰
30,"107,160",평점5,하이마트쇼핑몰,20.08.11.,비브르 A9 PLUS,저녁에 집 정리하고 가볍게 돌릴용도로 샀는데 딱 좋네요. 무게도 가벼운 편이고 먼지통이 작긴 하지만 그날그날 돌리고 바로 비워버리면 되니 문제없고요. 헤드 부분에 라이트는 필요없을 땐 끄고 싶은데 따로 전원 스위치가 없는지 계속 켜지는게 단점이라면 단점.
31,"107,160",평점5,VIVRE KOREA,19.09.25.,비브르 A9 PLUS,"이뿌네영 생긴거.그리고 바람은 기대만큼 쎄진 않아요근데 뭐... 장판 뜯길정도로 흡입할 것도 아니고..뭐..그냥 쓰는거죠 뭐. 좋은 기능을 바란다면그만큼의 가격을 내야합니다.강력한 바람은 대기업전자로 가시고, 합리적인 소비와그에 응당하는 적당한 기능을 원하신다면 이것도 나쁜 선택은 아닙니다."
32,"107,160",평점5,VIVRE KOREA,19.10.18.,비브르 A9 PLUS,배송은 이틀만 왔구요..오자마자 바로 사용했네요..생각보다 먼지도 잘 빨아들이고 소음도 그닥 크지 않네요..근데 생각보다 쬐끔 무겁긴 하지만 불편하진 않아요..근데 쓸때마다 헤드부분을 끼워야 하고 다쓰면 빼서 보관해야하는게 조금 귀찮긴 하겠어요..고장없이 오래 잘 썼으면 좋겠네요
33,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,"배송와있는거 뜯고 써보니 그립감도 좋고 가볍고 요즘 트렌트에 맞는 디자인, 색상이라 마음에 들어씀다생각보다 가벼워서 조코동생네한테도 선물하나 해줘야게써용가격도 그렇게 부담되지않아서 집들이 선물용으로도 딱이겠네요.^3^"
34,"107,160",평점4,VIVRE KOREA,19.07.26.,비브르 A9 PLUS,"흡입, 무게 디자인 만족합니다.거치대는 개선이 필요할거같습니다 ㅜ 너무 불편하더군요.그리고 처음에 받자마자 조립하고 2단 파워 잘되다가,충전하고 2단파워로 하니까 자꾸 5~10초 있다 꺼지더라구요. 그래서 그냥 2단 +버튼을 누르고 사용하니까 안꺼지더군요.그냥 저렴하게 샀기에 우선은 쓰는데 ㅜ 이런 품질만 관리 잘되면 좋을거같아요,"
35,"107,160",평점4,비브르샵,20.10.05.,비브르 A9 PLUS,"정말 가성비 좋고 너무 좋은데 1점 깎은 이유는 당연히 다 꼽은상태(풀세팅)에서 세워질줄알고 샀는데 자꾸 기울어지고 넘어지고 그래서 그게 너무너무 안타까워요,, 세울수 있는 틀? 을 주셔서 좋긴한데 오히려 공간차지를 더 하는거같아요 빼고는 다 좋습니다!"
36,"107,160",평점5,VIVRE KOREA,19.06.25.,비브르 A9 PLUS,포장도 완전히 꼼꼼히 잘되서 오고 저렴한 가격에 대기업 못지않는 제품이네요?와 정말 상품평 믿고 구매했는데 믿길 잘한 것 같습니다  하하하~개인적으로 느끼는게 다르겠지만 흡입력 어마어마하네요. 담배잿가루 가득했던 제 방 창틀 한번에 청소되네요?
37,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,다른 무선청소기 구매할때 보면 거의 다 벽에 못을박아 설치하는 거치대 형식이던데비브르 여기 제품 저처럼 월세집에 벽에 못박는건 위험한지라 ㅋㅋ벽에 못안박아도 거치할수있게구성되어있어 구매욕구 뿜뿜해 구매했습니다.ㅎ~성능도 가격에 비하면 괜찮네요!
38,"107,160",평점5,VIVRE KOREA,19.07.18.,비브르 A9 PLUS,"배송 상품 완전 대만족이에요^^상품 받자마자 충전해서 사용했는데, 먼지 흡입도 잘되고 흡입구 헤드에 라이트가 들어와서 청소할때 먼지가 잘보여서 좋아요. 흡입하는 힘도 이정도면 센편이고  먼지 비울때도 간편해서 만족스러워요^^  지인들한테도 많이 알릴게요~ 많이파세요~"
39,"107,160",평점5,VIVRE KOREA,19.06.21.,비브르 A9 PLUS,무선청소기 리뷰 :룸메이트랑 같이 산지 얼마 되지않아서 청소기가 필요할 것 같아 이것저것 알아보는데디자인이 이쁘고 싸서 구매했습니당! 솔직히 싼 만큼 별 기대 안했는데 룸메언니랑 머리카락 빨아들이는거보고 놀랐네용감삼당
